Submitted at,"De 1 a 5, qual é sua avaliação geral sobre o curso?","De 1 a 5, o que você achou do nível dos professores?","De 1 a 5, o que você achou do material didático?","De 1 a 5, o que você achou da organização e do atendimento do curso?","De 1 a 5, você faria outro curso com o Canal Solar?","De 1 a 5, você indicaria um curso do Canal Solar para um amigo?",Questão 8,feedback,curso
"4 de mar., 12:20",5,4,4,4,5,5,Sim,"Devido a constantes mudanças na legislação, o conteúdo precisa de atualizações.",fundamentos
"4 de mar., 12:15",4,4,4,5,,,,,fundamentos
"4 de mar., 10:48",5,5,5,5,5,5,Não,,fundamentos
"4 de mar., 10:11",4,5,4,5,4,4,Não,,armazenamento
"3 de mar., 22:22",5,5,5,5,5,5,Não,,
"3 de mar., 22:22",4,4,5,4,5,5,Não,,
"3 de mar., 22:22",5,5,5,5,5,5,Não,,
"3 de mar., 22:21",5,5,5,5,5,5,Sim,"Sugiro, aumentar a carga horária, tem muito tema que deve ser mais trabalhado.",
"3 de mar., 22:21",5,5,5,5,5,5,Não,,
"3 de mar., 22:20",5,5,4,5,5,5,Não,,
"3 de mar., 22:20",5,5,5,5,5,5,Sim,exemplos voltados mais para baixa tensão!,
"3 de mar., 22:19",4,5,3,5,5,5,Sim,"O curso é muito bom, com professores excelente. 
Há apenas uma falha, que considero relativamente grave, que é o site. É muito confuso quanto à localização dos materiais e à atualização. Era necessário que a Ana ficasse atualizando sempre que algo era demandado.",
"3 de mar., 22:18",4,4,5,5,5,5,Não,,
"3 de mar., 22:18",5,5,4,5,5,5,Sim,"O curso é muito bom. 
Seria bacana ter um curso para cada perfil de cliente e aprofundar nos detalhes, tipo Residencial alto padrão, Comercial, Industrial. Pode até ser no mesmo curso, mas ter módulos separados. Eu ainda não concluí o curso pela plataforma, me dediquei as aulas on line, caso já tenha, desconsidere minha pontuação!
Parabéns e obrigado.",
"3 de mar., 22:18",5,5,5,5,5,5,Sim,Parabéns pelo alto nível dos professores e excelente material didático. A carga de matéria dada é bastante extensa e um único curso não consegue abranger todo o conhecimento necessário. Pretendo fazer outros cursos do canal.,
"3 de mar., 22:18",4,5,3,5,5,5,Sim,"Acho que o curso poderia disponibilizar planilhas e outros controles que facilitassem o dimensionamento dos diversos sistemas vistos no curso. A planilha do Bernardo é muito boa. A Laís só disponibilizou porque os alunos cobraram e mesmo assim achei que poderia ter uma complexidade melhor. ",
"3 de mar., 22:18",5,5,4,4,4,4,Não,,
"3 de mar., 22:18",4,5,5,5,5,5,Não,,
"3 de mar., 22:17",5,5,5,5,5,5,Sim,,
"3 de mar., 22:17",5,5,5,5,5,5,Não,,
"3 de mar., 18:43",5,5,5,5,5,5,Não,,armazenamento
"3 de mar., 17:17",5,5,5,5,5,5,,,
"3 de mar., 17:13",5,5,5,5,5,5,,,
"3 de mar., 17:12",5,2,5,5,2,2,Não,,
"2 de mar., 10:58",5,5,5,5,,,,,armazenamento
"2 de mar., 09:15",5,5,5,5,5,5,Não,,fundamentos
"2 de mar., 08:14",5,5,5,5,5,5,Sim,"  ",comercialevendas
"27 de fev., 12:12",5,5,5,5,5,5,Não,,armazenamento
"27 de fev., 11:47",3,4,2,4,3,3,Não,,armazenamento
"27 de fev., 10:18",5,5,5,5,5,5,Não,,armazenamento
"26 de fev., 23:27",5,5,4,4,,,,,armazenamento
"26 de fev., 16:09",5,5,5,5,5,5,Sim,Excelente conteúdo.,armazenamento
"26 de fev., 12:18",2,,,,,,,,armazenamento
"25 de fev., 21:08",4,5,4,5,4,4,Não,,armazenamento
"25 de fev., 17:06",4,4,4,5,4,5,Não,,armazenamento
"25 de fev., 17:06",3,5,3,5,1,1,Não,,armazenamento
"25 de fev., 11:34",5,5,5,5,5,5,Não,,lei14300
"24 de fev., 22:54",5,5,5,5,5,5,Não,,armazenamento
"24 de fev., 19:55",5,,,,,,,,homer
"24 de fev., 13:43",5,5,5,,,,,,homer
"24 de fev., 11:20",5,5,5,5,5,5,Não,,armazenamento
"23 de fev., 20:47",5,5,5,5,5,5,Não,,armazenamento
"23 de fev., 18:25",5,5,4,5,5,5,Não,,armazenamento
"23 de fev., 11:54",5,5,5,5,5,5,Não,,armazenamento
"23 de fev., 11:30",5,5,4,5,5,5,Não,,armazenamento
"23 de fev., 10:50",3,4,3,3,3,2,Não,,armazenamento
"23 de fev., 01:10",5,5,4,5,5,5,Não,,mercadolivre
"22 de fev., 16:22",4,4,4,4,3,4,Sim,"Acho que este curso merece pelo menos 03 ou 04 datas em que seja presencial. O fato de ter muitas dúvidas só no chat é muito ruim para acompanhar. Muito professores interrompem o raciocinio para explicar alguma coisa, e se perde a meada. Tem tópicos muito importantes de cálculos que não dá para tratar da forma como foi tratado no curso online. Fica o meu pedido para que seja feitos módulos presenciais. ",armazenamento
"20 de fev., 21:05",4,4,4,4,4,4,Não,,armazenamento
"20 de fev., 15:00",5,5,5,5,5,5,Não,,armazenamento
"20 de fev., 09:51",5,5,4,5,5,5,Não,,armazenamento
"20 de fev., 09:51",5,5,4,5,5,5,Não,,armazenamento
"19 de fev., 11:24",5,5,5,,,,,,comercialevendas
"18 de fev., 17:22",4,4,4,4,5,5,Não,,armazenamento
"18 de fev., 09:15",4,4,4,4,3,3,Não,,armazenamento
"17 de fev., 21:45",5,5,5,5,5,5,Sim,"Excelente didática, material de primeira e ótimo atendimento,parabén a toda equipe.",armazenamento
"17 de fev., 16:30",5,5,5,5,5,5,Não,,fundamentos
"14 de fev., 19:39",4,4,5,4,4,4,Não,,fundamentos
"14 de fev., 13:18",4,4,5,5,5,5,Não,,armazenamento
"14 de fev., 07:54",5,5,5,5,5,5,Não,,armazenamento
"13 de fev., 01:49",4,4,5,5,3,3,Não,,armazenamento
"12 de fev., 16:47",5,5,5,5,5,5,Não,,armazenamento
"12 de fev., 09:22",4,5,4,5,3,3,Sim,"O conteúdo é muito bom, mas o que eu não concordo e com os horários muito intenso as aulas precisava ser dividido em horas 2 horas no máximo e o prazo de acesso para nós e muito pequeno. isso que na minha opinião precisa melhorar    ",armazenamento
"12 de fev., 07:37",4,5,5,4,4,4,Sim,"Novamente só discordo dos horários e do tempo de acesso que temos precisava ser de pelo menos 1 ano ",zerogrid
"11 de fev., 17:19",5,5,5,5,5,5,Não,,comercialevendas
"10 de fev., 21:13",5,5,5,5,5,5,Não,,engenharia  style=
"10 de fev., 15:39",4,5,5,5,5,5,Não,,armazenamento
"10 de fev., 09:41",2,3,3,3,3,2,Não,,armazenamento
"9 de fev., 18:10",4,4,4,4,4,4,Não,,armazenamento
"8 de fev., 16:45",5,5,4,4,5,4,Não,,armazenamento
"7 de fev., 19:12",5,5,5,3,5,5,Sim,"Comprei o curso com antecedência e a vendedora me passou que seria alocado na próxima turma e seria avisado dias antes, como acompanho o canal Solar nas lives e nas redes sociais vi que teria uma turma em janeiro, enviei uma mensagem e fui informado que seria na semana seguinte mas não me informou o dia, na terça voltei a enviar mensagem e fui informado que já havia começado no dia anterior!!",mercadolivre
"6 de fev., 20:20",5,5,5,5,5,5,Não,,mercadolivre
"6 de fev., 20:08",4,5,4,5,5,5,Não,,armazenamento
"6 de fev., 15:51",5,5,4,4,5,5,Não,,fundamentos
"6 de fev., 12:36",5,5,5,5,5,5,Não,,microgeracao
"5 de fev., 21:01",5,5,5,5,5,5,Não,,usinas
"5 de fev., 16:45",5,5,5,5,5,5,Não,,fundamentos
"5 de fev., 15:20",5,5,,,,,,,comercialevendas
"5 de fev., 11:47",5,5,5,5,5,5,Não,,armazenamento
"5 de fev., 11:28",5,5,5,5,5,5,Sim,"Deveriam ampliar a duração de apenas 6 meses das gravações ",armazenamento
"4 de fev., 12:28",5,5,5,5,5,5,Não,,armazenamento
"4 de fev., 11:02",5,5,5,5,5,5,Não,,armazenamento
"4 de fev., 09:40",5,5,5,5,5,5,Não,,pvsyst
"3 de fev., 22:59",5,5,5,5,5,5,Não,,cabine
"3 de fev., 18:56",3,4,4,3,3,3,Não,,usinas
"3 de fev., 14:39",4,4,3,4,3,4,Sim,"Esperava aprender mais sobre prática de instalação, mas acho que ficou muito em legislação e temas que apesar de relevantes, no momento não contribuiu muito para que escalçasse de vez no hubrido e off-grid. Para mim ainda tenho que aprender mais sobre o tema!!",armazenamento
"3 de fev., 12:55",5,5,5,5,5,5,Não,,armazenamento
"3 de fev., 10:32",5,5,4,5,5,5,Não,,armazenamento
"2 de fev., 19:39",5,5,4,5,5,5,Não,,fundamentos
"2 de fev., 18:41",5,5,5,5,5,5,Sim,Ótimas aulas,armazenamento
"2 de fev., 14:06",5,5,5,5,5,5,Sim,ÓTIMA ESTRUTURA DE CURSO COM UMA ABRANGÊNCIA GERAL.   O CANAL SOLAR ESTÁ DE PARABÉNS,armazenamento
"2 de fev., 11:43",5,5,5,5,5,5,Não,,armazenamento
"2 de fev., 11:30",5,5,5,5,5,5,Não,,armazenamento
"2 de fev., 11:15",5,5,4,5,5,5,Sim,"Venho acompanhando o Canal Solar fazem muitos anos, este é o primeiro curso que eu faço com vocês, superou minhas expectativas. Algumas observações que eu faço na plataforma online, lá poderia separar os cursos pagos pelo acessante dos curso antigos online, e cursos ""free"", fica meio complexo de localizar o curso específico que eu fiz, mas tem bastante material. No mais, eu entendo que é um curso complexo, e o nível dos participantes deveria ser técnico avançado ou engenheiros, vejo que tem muitos participantes que são vendedores ou pessoas que estão no business de energia solar, mas tem pouca base técnica, então o nível do curso na média é bem superior a média dos participantes, mas isto faz parte não tem como limitar isto, ok.  Gostaria de participar daquele curso presencial de armazenamento de energia que vocês já ofereceram que inclui visita a uma planta da BYD na região de Campinas. Mas a equipe está de parabéns pelo conhecimento, domínio e nível dos professores.",armazenamento
"2 de fev., 08:55",5,5,5,5,5,5,Sim,,armazenamento
"1 de fev., 21:16",4,4,4,4,4,4,Não,,armazenamento
"31 de jan., 17:34",3,3,3,3,3,3,Não,,fundamentos
"31 de jan., 12:33",2,4,2,3,3,2,Sim,"Poderiam melhoras na didática do curso mostrando mais a realidade pratica das instalações e elaboração dos projetos, seria interessante também disponibilização de mais materiais com modelos de documentos para elaboração pratica de projetos etc.    ",armazenamento
"30 de jan., 16:37",5,5,5,5,5,5,Não,,armazenamento
"29 de jan., 16:27",5,5,5,5,5,5,Sim,EXCELENTE CURSO,fundamentos
"28 de jan., 22:06",5,5,5,5,5,5,Não,,armazenamento
"26 de jan., 22:10",5,5,5,5,5,5,Não,,comercialevendas
"26 de jan., 22:10",5,5,5,5,5,5,Não,,comercialevendas
"26 de jan., 00:05",5,5,4,5,5,5,Não,,armazenamento
"25 de jan., 17:30",3,3,4,3,3,3,Sim,"O conteudo do curso é muito importante, mas as constantes interruopções para responder perguntas e o merchandissing atrapalham demais. Sobre a didática dos professores, nos assuntos importantes eles correm, nos assuntos corriqueiros demoram mais tempo. Este professor Iberê tem uma didática péssima, parece que o cidadão está escondendo informação, péssima didática. Criem uma verão presencial destre curso, o aproveitamente online é péssimo para assuntos que envolvem muitos cálculos. E deixem o curso mais interativo, ler as perguntas do chat tira a concentração, E por favor, orientem o professor Bernardo se estamos pagando o curso, pára de fazer propaganda de outros cursos, ou abre uma espaço para falar só disto, não fica martelando que é um saco. ",armazenamento
"24 de jan., 10:37",5,5,5,4,5,5,Não,,armazenamento
"20 de jan., 23:02",4,5,4,5,5,5,Não,,microgeracao
"20 de jan., 07:30",5,5,5,5,5,5,Não,,armazenamento
"17 de jan., 18:04",5,5,5,5,5,5,Não,,armazenamento
"16 de jan., 12:18",5,5,5,5,5,5,Não,,zerogrid
"14 de jan., 23:34",5,5,5,5,5,5,Não,,armazenamento
"14 de jan., 14:24",5,5,5,5,5,5,Não,,comercialevendas
"13 de jan., 16:21",5,5,5,5,5,5,Não,,comercialevendas
"12 de jan., 15:42",5,5,5,5,5,5,Não,,fundamentos
"12 de jan., 06:56",5,,,,,,,,armazenamento
"11 de jan., 22:59",4,4,4,4,4,4,Não,,armazenamento
"11 de jan., 14:58",5,5,5,5,5,5,Não,,comercialevendas
"9 de jan., 22:46",5,5,5,5,5,5,Não,,mercadolivre
"7 de jan., 15:47",5,4,3,5,5,5,Não,,fundamentos
"6 de jan., 22:01",5,5,5,5,5,5,Não,,armazenamento
"6 de jan., 16:23",4,5,5,4,5,5,Não,,armazenamento
"6 de jan., 09:03",5,5,5,5,5,5,Não,,pvsyst
"5 de jan., 17:20",5,5,5,5,5,5,Não,,fundamentos
"4 de jan., 19:37",5,5,5,5,5,5,Não,,comercialevendas
"4 de jan., 16:24",3,5,3,3,2,2,Sim,,armazenamento
"4 de jan., 16:04",3,5,3,4,5,5,Não,,fundamentos
"3 de jan., 07:47",4,5,4,4,5,5,Não,,mercadolivre
"2 de jan., 09:46",5,5,4,5,5,5,Não,,microgeracao
"31 de dez. de 2025, 08:46",5,5,5,5,5,5,Não,,armazenamento
"30 de dez. de 2025, 16:58",5,5,5,5,5,5,Não,,fundamentos
"30 de dez. de 2025, 15:30",5,5,5,5,5,5,Não,,comercialevendas
"28 de dez. de 2025, 21:07",5,5,5,5,5,5,Não,,armazenamento
"28 de dez. de 2025, 18:48",5,5,5,5,,,,,fundamentos
"28 de dez. de 2025, 16:20",5,5,5,5,5,5,Não,,armazenamento
"27 de dez. de 2025, 16:29",4,4,4,5,4,4,Não,,armazenamento
"26 de dez. de 2025, 14:20",4,4,5,3,5,5,Sim,"Alguns tópicos deveriam ser atualizados,ao menos uma aula mais recente sobre o assunto.muito confuso algumas explicações.",lei14300
"26 de dez. de 2025, 10:55",5,5,5,5,5,5,Não,,engenharia  style=
"25 de dez. de 2025, 19:46",5,5,5,5,5,,,,fundamentos
"23 de dez. de 2025, 14:44",4,5,5,4,4,5,Não,,fundamentos
"23 de dez. de 2025, 01:56",4,4,4,4,4,4,Não,,armazenamento
"22 de dez. de 2025, 11:01",5,5,5,5,5,5,Não,,fundamentos
"17 de dez. de 2025, 16:37",4,4,4,4,4,4,Não,,armazenamento
"16 de dez. de 2025, 19:46",5,5,5,5,5,5,Não,,armazenamento
"15 de dez. de 2025, 10:56",5,5,5,5,5,5,Não,,armazenamento
"14 de dez. de 2025, 18:45",5,5,5,5,5,5,Não,,armazenamento
"14 de dez. de 2025, 11:59",5,5,5,5,5,5,Sim,"Curso de excelente qualidade, com conteúdo didático muito consistente. Como ponto de melhoria, sugiro a ampliação do prazo de acesso às vídeos aulas, pois, para quem está começando na área, as dúvidas costumam surgir durante a prática, quando o acesso ao material provavelmente já terá expirado.",usinas
"13 de dez. de 2025, 16:39",5,5,5,5,,,,,fundamentos
"13 de dez. de 2025, 11:33",5,5,5,5,5,5,Não,,armazenamento
"11 de dez. de 2025, 17:09",4,5,4,4,5,5,Não,,armazenamento
"11 de dez. de 2025, 16:01",5,5,5,5,5,5,Não,,fundamentos
"11 de dez. de 2025, 09:17",5,5,5,5,5,5,Não,,armazenamento
"9 de dez. de 2025, 10:22",5,5,5,5,5,5,Não,,armazenamento
"9 de dez. de 2025, 10:20",5,5,5,,,,,,armazenamento
"9 de dez. de 2025, 10:20",5,5,5,,,,,,armazenamento
"5 de dez. de 2025, 14:21",5,5,5,4,5,5,Não,,armazenamento
"5 de dez. de 2025, 12:16",4,4,4,4,4,4,Não,,comercialevendas
"5 de dez. de 2025, 01:23",4,5,4,4,4,4,Não,,fundamentos
"4 de dez. de 2025, 20:15",5,5,5,5,5,5,Sim,"Sobre este curso de BESS do Canal Solar que tive a oportunidade de participar, só tenho elogios! O conteúdo foi muito bem estruturado, direto ao ponto e extremamente prático. Os instrutores dominaram bem o assunto e explicaram de forma clara até os conceitos mais complexos de armazenamento de energia. Recomendo demais para quem quer se aprofundar em baterias e sistemas de armazenamento. Parabéns à equipe do Canal Solar pela qualidade!",armazenamento
"4 de dez. de 2025, 16:28",5,5,5,5,,,,,armazenamento
"4 de dez. de 2025, 15:41",3,5,3,4,3,4,Sim,"O curso foi bom, os professores são ótimos porém referencias e/ou material auxiliar para estudo poderia melhorar muito o curso. Ex: Pdf, indicação de literaturas, aulas em laboratório etc.",armazenamento
"4 de dez. de 2025, 09:16",5,5,5,5,5,5,Não,,armazenamento
"3 de dez. de 2025, 23:22",5,5,5,5,5,5,Não,,armazenamento
"1 de dez. de 2025, 18:44",5,5,5,5,5,5,Não,,pvsyst
"1 de dez. de 2025, 17:21",5,5,5,5,5,5,Não,,pvsyst
"1 de dez. de 2025, 14:39",5,5,5,5,5,5,Não,,armazenamento
"1 de dez. de 2025, 10:43",4,5,4,4,5,,,,armazenamento
"1 de dez. de 2025, 08:34",4,3,4,5,5,5,Sim,Curso ótimo aprendi vários conceitos novos,armazenamento
"29 de nov. de 2025, 23:36",5,5,5,5,5,5,Não,,aterramento
"29 de nov. de 2025, 13:03",5,5,5,5,5,5,Não,,armazenamento
"28 de nov. de 2025, 22:08",5,5,5,5,5,5,Não,,armazenamento
"26 de nov. de 2025, 12:29",5,5,5,5,5,5,Não,,comercialevendas
"25 de nov. de 2025, 14:52",3,,,,,,,,fundamentos
"24 de nov. de 2025, 18:56",5,5,5,5,5,5,Não,,zerogrid
"24 de nov. de 2025, 18:47",5,5,5,5,5,5,Não,,zerogrid
"24 de nov. de 2025, 07:57",4,4,4,5,4,4,Sim,"Bom dia!
No meu caso eu senti a falta de um projeto real pra facilitar o entendimento e dar mais segurança no dimensionamento do sistema, na parte teórica deu pra pegar bem mas faltou isso ao  meu ver...",armazenamento
"23 de nov. de 2025, 21:51",5,5,5,5,5,5,Não,,fundamentos
"23 de nov. de 2025, 07:46",3,5,3,3,3,3,Não,,fundamentos
"20 de nov. de 2025, 19:02",5,5,5,5,5,5,Não,,armazenamento
"20 de nov. de 2025, 18:31",4,5,5,5,5,5,Não,,fundamentos
"20 de nov. de 2025, 13:56",5,4,4,5,5,5,Não,,fundamentos
"20 de nov. de 2025, 10:07",3,5,3,4,4,4,Sim,"Os instrutores são profundos conhecedores do tema, mas a forma como o curso é construído deixa a desejar, sinto falta de detalhamento, de aprofundamento do tema, são informações muito relvantes mas passadas de forma pouco didática. O material didático também é pouco organzado, pouco profissional. Sinto falta de apostilas no formato de livros. É preciso lembrar que o curso não é vitálicio e se precisarmos tirar dúvidas ou buscar novamente a informação de algum tema especifico, não teremos acesso.

O curso poderia ter uma cara de pós graduação e que sabe um certificado com essa valia, traria muito valor em todos os aspectos",usinas
"20 de nov. de 2025, 00:51",5,5,5,5,5,5,Não,,fundamentos
"20 de nov. de 2025, 00:18",5,5,5,5,5,5,Não,,armazenamento
"19 de nov. de 2025, 21:01",5,5,5,5,5,5,Não,,aterramento
"18 de nov. de 2025, 19:01",5,5,5,5,5,5,Não,,visitaguiada
"17 de nov. de 2025, 22:14",5,5,5,5,5,5,Não,,fundamentos
"17 de nov. de 2025, 17:18",5,5,5,5,5,5,Não,,zerogrid
"16 de nov. de 2025, 21:38",5,5,5,,,,,,engenharia  style=
"14 de nov. de 2025, 09:09",5,5,5,5,5,5,Não,,usinas
"12 de nov. de 2025, 09:22",5,5,5,5,5,5,Não,,usinas
"12 de nov. de 2025, 02:47",5,5,5,5,,,,,fundamentos
"11 de nov. de 2025, 11:58",5,5,5,5,5,5,Não,,tributos
"11 de nov. de 2025, 09:31",5,5,5,5,5,5,Não,,armazenamento
"10 de nov. de 2025, 13:12",5,5,5,5,5,5,Não,,armazenamento
"10 de nov. de 2025, 01:01",5,5,5,5,5,5,Não,,engenharia  style=
"9 de nov. de 2025, 21:36",5,5,5,5,,,,,fundamentos
"9 de nov. de 2025, 21:07",5,5,5,,,,,,microgeracao
"9 de nov. de 2025, 19:05",5,5,5,5,5,5,Não,,fundamentos
"9 de nov. de 2025, 10:05",5,5,5,5,5,5,Não,,armazenamento
"8 de nov. de 2025, 20:07",4,5,5,4,4,5,Não,,fundamentos
"8 de nov. de 2025, 13:46",5,5,5,,,,,,comercialevendas
"7 de nov. de 2025, 21:22",5,5,5,5,5,5,Não,,armazenamento
"6 de nov. de 2025, 11:10",5,5,5,4,5,4,Não,,armazenamento
"6 de nov. de 2025, 10:19",5,,,,,,,,comercialevendas
"6 de nov. de 2025, 10:19",5,,,,,,,,comercialevendas
"6 de nov. de 2025, 09:11",4,5,5,5,4,5,Não,,armazenamento
"5 de nov. de 2025, 14:55",5,5,4,4,5,5,Não,,armazenamento
"5 de nov. de 2025, 10:49",5,5,5,5,5,5,Não,,armazenamento
"4 de nov. de 2025, 15:24",5,5,5,5,5,5,Não,,armazenamento
"4 de nov. de 2025, 12:55",5,4,4,5,5,5,Não,,armazenamento
"3 de nov. de 2025, 23:44",5,5,5,5,5,5,Não,,armazenamento
"3 de nov. de 2025, 23:21",4,4,5,3,2,3,Não,,fundamentos
"3 de nov. de 2025, 21:42",5,5,4,5,5,5,Não,,armazenamento
"3 de nov. de 2025, 11:23",4,4,4,5,5,5,Não,,armazenamento
"3 de nov. de 2025, 10:21",4,4,3,5,3,3,Não,,armazenamento
"3 de nov. de 2025, 09:08",5,5,5,5,5,5,Não,,fundamentos
"2 de nov. de 2025, 11:16",5,5,5,5,5,5,Não,,tributos
"1 de nov. de 2025, 20:51",5,5,5,5,5,5,Não,,armazenamento
"1 de nov. de 2025, 15:26",5,5,5,5,5,4,Não,,armazenamento
"31 de out. de 2025, 13:00",5,5,5,5,5,5,Não,,usinas
