Submitted at,"De 1 a 5, qual é sua avaliação geral sobre o curso?","De 1 a 5, o que você achou do nível dos professores?","De 1 a 5, o que você achou do material didático?","De 1 a 5, o que você achou da organização e do atendimento do curso?","De 1 a 5, você faria outro curso com o Canal Solar?","De 1 a 5, você indicaria um curso do Canal Solar para um amigo?",Questão 8,feedback,curso
"4 de jul. de 2025, 09:55",3,5,4,5,5,5,Sim,"Curso é bom, mas no dia da visita tudo estava parado em manutenção. Acredito que quem compra a visita guiada é pra ver funcionado e tirar as duvidas, isso prejudicou um pouco a visita.",visitaguiada
"4 de jul. de 2025, 09:55",3,5,4,5,5,5,Sim,"Curso é bom, mas no dia da visita tudo estava parado em manutenção. Acredito que quem compra a visita guiada é pra ver funcionado e tirar as duvidas, isso prejudicou um pouco a visita.",visitaguiada
"3 de jul. de 2025, 22:23",3,2,3,4,4,4,Sim,,zerogrid
"3 de jul. de 2025, 19:03",5,5,5,5,5,5,Não,,lei14300
"3 de jul. de 2025, 17:07",4,4,3,3,4,4,Não,,armazenamento
"3 de jul. de 2025, 16:20",5,4,3,4,5,4,Não,,comercialevendas
"3 de jul. de 2025, 11:23",5,5,5,5,5,5,Sim,"Curso muito bom, aprendi muito e vou recomendar à amigos. Grato",aterramento
"3 de jul. de 2025, 11:20",5,5,5,5,5,5,Não,,aterramento
"2 de jul. de 2025, 23:26",5,5,5,5,5,5,Não,,fundamentos
"2 de jul. de 2025, 23:04",5,5,5,5,5,5,Não,,usinas
"2 de jul. de 2025, 10:43",4,4,3,3,4,,,,armazenamento
"1 de jul. de 2025, 22:34",5,5,5,5,5,5,Não,,armazenamento
"1 de jul. de 2025, 22:32",5,5,5,5,5,5,Sim,,armazenamento
"1 de jul. de 2025, 10:35",5,5,2,3,4,3,Sim,"Acho que fica uma lacuna entre uma aula e outra, muda de um professor para o outro, e fica a impressão que tá faltando informações entre uma aula e outra.",comercialevendas
"30 de jun. de 2025, 08:49",5,5,5,5,5,5,Sim,Parabéns a todos do Canal Solar!,usinas
"27 de jun. de 2025, 13:16",4,5,5,4,,,,,fundamentos
"26 de jun. de 2025, 20:12",5,5,5,5,5,5,Não,,mercadolivre
"26 de jun. de 2025, 13:51",5,5,5,5,5,5,Sim,,vendasavancadas
"26 de jun. de 2025, 12:42",5,,,,,,,,usinas
"25 de jun. de 2025, 17:33",5,5,4,4,5,4,Não,,fundamentos
"25 de jun. de 2025, 16:24",5,5,5,5,5,5,Não,,comercialevendas
"25 de jun. de 2025, 12:12",5,5,4,4,5,5,Não,,armazenamento
"23 de jun. de 2025, 21:13",1,1,,,,,,,zerogrid
"23 de jun. de 2025, 13:42",4,5,5,5,4,5,Sim,"Gostei muito do curso, mas acho que poderia ter mais exemplos de diagramas unifilares, multifilares...",microgeracao
"20 de jun. de 2025, 18:19",5,5,5,5,5,5,Não,,fundamentos
"20 de jun. de 2025, 04:30",5,5,5,5,5,5,Sim,Oi,fundamentos
"19 de jun. de 2025, 16:35",5,5,5,4,4,5,Não,,comercialevendas
"18 de jun. de 2025, 17:02",4,5,4,4,3,4,Não,,comercialevendas
"18 de jun. de 2025, 12:06",5,5,5,5,5,5,Não,,comercialevendas
"18 de jun. de 2025, 10:16",5,5,5,5,5,5,Sim,"MUITO BOM, APRENDI MUITAS COISAS BOAS COM VOCES, ANSIOSO PARA REVISAR E APRENDER NOVAS ETAPAS TAMBÉM. ",comercialevendas
"17 de jun. de 2025, 16:16",5,5,5,5,5,5,Sim,.,mercadolivre
"17 de jun. de 2025, 09:45",1,3,2,2,1,1,Sim,"As aulas deixaram muito a desejar. Tendo em vista o custo do investimento, esperava muito mais em termos de fluidez, qualidade do vídeo e áudio gravado. A maioria das aulas são gravadas em local inadequado, com eco, som e vídeo ruim, sem contar os recursos utilizados no momento da aula. O curso tem muito conteúdo, porém um conteúdo repetitivo, mal distribuído, mal organizado e nada didático. Não passa o profissionalismo esperado pelo aluno, falta zelo e capricho. 
O mercado evoluiu muito quando se trata de aulas a distância, sugiro o Canal Solar procurar melhorias nesse sentido.",armazenamento
"16 de jun. de 2025, 17:19",5,5,5,5,5,5,Não,,cabine
"16 de jun. de 2025, 15:48",4,5,5,4,4,4,Não,,fundamentos
"15 de jun. de 2025, 04:14",5,5,,,,,,,fundamentos
"14 de jun. de 2025, 20:12",5,,,,,,,,zerogrid
"13 de jun. de 2025, 16:34",5,5,5,5,5,5,Não,,microgeracao
"13 de jun. de 2025, 16:32",5,5,5,5,5,5,Não,,microgeracao
"13 de jun. de 2025, 15:48",4,5,4,4,5,5,Sim,,fundamentos
"13 de jun. de 2025, 09:04",5,4,4,5,5,5,Não,,armazenamento
"12 de jun. de 2025, 12:59",4,5,5,4,4,4,Não,,usinas
"12 de jun. de 2025, 11:34",5,5,5,,,,,,visitaguiada
"12 de jun. de 2025, 10:24",5,5,5,5,5,5,Não,,pvsyst
"11 de jun. de 2025, 19:54",5,5,5,5,5,5,Não,,fundamentos
"11 de jun. de 2025, 12:16",5,5,5,5,5,5,Não,,comercialevendas
"9 de jun. de 2025, 16:03",5,,,,,,,,zerogrid
"9 de jun. de 2025, 09:22",5,5,5,5,5,5,Não,,hidrogenio
"7 de jun. de 2025, 15:19",5,5,5,5,5,5,Não,,hidrogenio
"6 de jun. de 2025, 11:03",4,5,4,4,4,4,Não,,armazenamento
"5 de jun. de 2025, 12:11",4,4,3,5,4,5,Não,,usinas
"4 de jun. de 2025, 14:44",5,5,4,5,5,5,Não,,fundamentos
"3 de jun. de 2025, 15:06",4,4,4,4,4,4,Não,,armazenamento
"3 de jun. de 2025, 15:06",4,4,4,4,4,4,Não,,armazenamento
"2 de jun. de 2025, 17:45",5,5,5,,,,,,fundamentos
"2 de jun. de 2025, 15:45",4,5,4,4,4,4,Sim,,microgeracao
"2 de jun. de 2025, 09:12",3,2,2,4,3,,,,fundamentos
"1 de jun. de 2025, 23:40",5,5,4,5,5,5,Sim,,pvsyst
"31 de mai. de 2025, 22:17",4,4,4,4,4,3,Não,,armazenamento
"30 de mai. de 2025, 17:06",4,4,3,4,3,4,Não,,pvsyst
"30 de mai. de 2025, 17:06",2,,,,,,,,pvsyst
"30 de mai. de 2025, 15:34",4,5,,,,,,,mercadolivre
"30 de mai. de 2025, 11:44",4,5,5,4,5,5,Não,,usinas
"28 de mai. de 2025, 19:22",5,5,5,5,5,5,Não,,comercialevendas
"28 de mai. de 2025, 11:48",5,5,5,5,5,5,Não,,microgeracao
"27 de mai. de 2025, 19:49",4,5,5,3,4,5,Não,,armazenamento
"26 de mai. de 2025, 22:21",5,5,5,5,5,5,Não,,microgeracao
"26 de mai. de 2025, 20:45",5,5,5,5,5,5,Não,,microgeracao
"26 de mai. de 2025, 16:02",5,4,4,5,5,5,Sim,Carga horária compatível com o conteúdo. Excelente.,pvsyst
"26 de mai. de 2025, 15:55",5,4,4,5,5,5,Sim,"Carga horária compatível com o conteúdo. Excelente.
",pvsyst
"26 de mai. de 2025, 15:50",5,5,5,5,5,5,Não,,pvsyst
"26 de mai. de 2025, 15:19",4,5,5,3,5,5,Não,,mercadolivre
"25 de mai. de 2025, 10:22",4,4,,,,,,,tributos
"25 de mai. de 2025, 00:16",4,4,4,3,4,4,Não,,mercadolivre
"24 de mai. de 2025, 23:38",4,4,4,5,5,5,,,tributos
"24 de mai. de 2025, 12:00",5,5,4,5,5,5,Não,,armazenamento
"23 de mai. de 2025, 17:00",5,5,5,5,5,5,Não,,usinas
"23 de mai. de 2025, 16:55",5,5,5,5,5,5,Não,,usinas
"23 de mai. de 2025, 13:09",5,5,5,5,5,5,Não,,usinas
"23 de mai. de 2025, 13:06",5,5,5,5,5,5,Não,,usinas
"22 de mai. de 2025, 16:36",5,5,5,5,5,5,Não,,fundamentos
"21 de mai. de 2025, 15:26",4,4,3,4,,,,,comercialevendas
"21 de mai. de 2025, 08:26",5,4,5,4,5,5,Sim,"A aula de peak shaving com o professor Thiago teve muitas reclamações dos expectadores.  O conteudo é pesado e o professor nao é nada didático, nao conseguiu transmitir seu conhecimento 
A aula de microredes com Geraldo usou um exemplo completamente ULTRAPASSADO de instalacao que é da Aldo, um sistema que foi instalado há mais de 5 anos, não se encontram mais os inversores da Victron e nem da Fronius no mercado.",armazenamento
"21 de mai. de 2025, 08:23",5,4,5,4,5,5,Sim,,armazenamento
"19 de mai. de 2025, 20:02",4,4,4,4,,,,,armazenamento
"19 de mai. de 2025, 14:17",5,5,5,5,,,,,fundamentos
"18 de mai. de 2025, 09:36",4,5,4,5,5,4,Não,,usinas
"17 de mai. de 2025, 22:13",5,5,5,5,5,5,Sim,Aulas muito bem estruturadas e embasadas nas normas apresentadas  por professores com conhecimentos e experiencia praticas com exemplos.,usinas
"17 de mai. de 2025, 16:22",5,5,3,3,3,3,Não,,armazenamento
"15 de mai. de 2025, 15:29",5,5,5,5,5,5,Não,,fundamentos
"15 de mai. de 2025, 11:01",4,5,5,5,5,5,Não,,fundamentos
"15 de mai. de 2025, 06:51",4,5,5,5,5,5,Sim,,usinas
"14 de mai. de 2025, 21:39",5,5,5,5,5,5,Não,,comercialevendas
"13 de mai. de 2025, 06:35",5,5,5,5,,,,,armazenamento
"12 de mai. de 2025, 14:53",5,5,5,5,5,5,Não,,armazenamento
"10 de mai. de 2025, 10:26",5,,,,,,,,usinas
"8 de mai. de 2025, 13:56",5,3,3,5,3,3,Não,,armazenamento
"7 de mai. de 2025, 11:31",5,5,5,5,5,5,Não,,zerogrid
"7 de mai. de 2025, 00:44",5,5,5,5,5,5,Não,,armazenamento
"6 de mai. de 2025, 16:08",4,5,4,4,5,4,Não,,fundamentos
"6 de mai. de 2025, 15:46",5,5,5,4,5,5,Não,,armazenamento
"6 de mai. de 2025, 15:37",5,5,5,4,5,5,Não,,armazenamento
"6 de mai. de 2025, 15:13",3,3,4,4,4,4,,,armazenamento
"6 de mai. de 2025, 14:48",4,4,4,4,4,4,Não,,armazenamento
"6 de mai. de 2025, 14:48",4,4,4,4,4,4,Não,,armazenamento
"5 de mai. de 2025, 18:04",4,5,3,4,4,4,Não,,cabine
"5 de mai. de 2025, 17:27",4,5,4,4,4,4,Não,,cabine
"5 de mai. de 2025, 17:19",4,4,4,4,4,4,Não,,armazenamento
"5 de mai. de 2025, 17:02",4,,,,,,,,armazenamento
"5 de mai. de 2025, 16:48",4,4,4,4,4,4,Não,,armazenamento
"5 de mai. de 2025, 16:42",4,,,,,,,,armazenamento
"5 de mai. de 2025, 16:35",4,4,4,4,4,4,Não,,armazenamento
"5 de mai. de 2025, 16:24",4,4,4,4,4,4,Não,,armazenamento
"5 de mai. de 2025, 16:05",5,,,,,,,,armazenamento
"5 de mai. de 2025, 14:40",4,4,4,4,,,,,armazenamento
"5 de mai. de 2025, 11:17",4,5,5,5,4,5,Não,,armazenamento
"4 de mai. de 2025, 09:41",4,4,4,,,,,,armazenamento
"3 de mai. de 2025, 18:45",5,5,5,5,5,5,Não,,usinas
"3 de mai. de 2025, 12:32",4,,,,,,,,armazenamento
"2 de mai. de 2025, 09:47",5,5,4,4,4,4,Não,,usinas
"28 de abr. de 2025, 15:00",4,4,4,4,4,4,Não,,lei14300
"28 de abr. de 2025, 14:24",5,5,5,5,5,5,Sim,,comercialevendas
"28 de abr. de 2025, 01:39",5,5,4,4,4,4,Não,,mercadolivre
"26 de abr. de 2025, 15:13",4,5,4,5,5,5,Não,,usinas
"25 de abr. de 2025, 22:59",5,5,5,4,5,5,Sim,"A parte técnica foi excelente, muito boa mesmo, principalmente a parte de inversores, baixa tensão e média tensão, porém a parte de SPDA e aterramento não foi tão bom assim, a parte de gestão também, contribuiu  , mas as citadas inicialmente bem mais.",usinas
"25 de abr. de 2025, 18:50",5,5,5,5,5,5,Não,,microgeracao
"25 de abr. de 2025, 18:39",5,5,5,5,,,,,microgeracao
"25 de abr. de 2025, 18:34",5,5,5,5,,,,,microgeracao
"24 de abr. de 2025, 12:26",3,4,4,4,3,4,Sim,"Alguns professores precisam melhorar bastante a didática e comunicação, para que a aula fica mais interessante e fácil de compreender.",armazenamento
"24 de abr. de 2025, 09:33",5,5,5,5,4,4,Não,,fundamentos
"22 de abr. de 2025, 17:04",4,4,4,4,4,4,Não,,comercialevendas
"22 de abr. de 2025, 12:32",4,5,5,4,4,4,Não,,aterramento
"21 de abr. de 2025, 09:52",5,5,5,4,5,5,Não,,usinas
"18 de abr. de 2025, 23:04",5,5,5,5,5,5,Não,,armazenamento
"16 de abr. de 2025, 16:13",4,5,5,4,4,4,Sim,,fundamentos
"16 de abr. de 2025, 15:45",4,5,,,,,,,fundamentos
"15 de abr. de 2025, 17:05",5,5,5,5,5,5,Não,,usinas
"15 de abr. de 2025, 15:14",5,5,4,4,4,4,Não,,armazenamento
"15 de abr. de 2025, 15:13",5,5,,,,,,,armazenamento
"15 de abr. de 2025, 14:29",5,5,5,5,5,5,Não,,comercialevendas
"15 de abr. de 2025, 13:21",5,5,5,5,,,,,usinas
"14 de abr. de 2025, 16:05",5,5,5,5,5,,,,comercialevendas
"14 de abr. de 2025, 15:27",5,5,5,5,,,,,comercialevendas
"14 de abr. de 2025, 00:29",5,5,5,4,5,5,Não,,usinas
"12 de abr. de 2025, 12:15",5,5,5,5,5,5,Sim,Parabéns pelo elevado conhecimento técnico e experiência do professor Dr. Paulo Freire e do nível do conteúdo apresentado. Gratidão ao Canal Solar.,aterramento
"11 de abr. de 2025, 21:57",5,5,5,5,5,5,Não,,usinas
"11 de abr. de 2025, 15:46",2,3,3,3,3,3,Não,,cabine
"11 de abr. de 2025, 12:06",5,,,,,,,,comercialevendas
"9 de abr. de 2025, 20:43",5,5,5,5,5,5,Não,,vendasavancadas
"9 de abr. de 2025, 18:04",4,4,4,3,4,4,Não,,comercialevendas
"9 de abr. de 2025, 18:02",5,4,4,3,4,4,Não,,comercialevendas
"9 de abr. de 2025, 13:56",3,3,2,4,3,2,Não,,vendasavancadas
"9 de abr. de 2025, 11:20",4,4,4,3,5,4,Não,,armazenamento
"8 de abr. de 2025, 12:10",5,5,5,5,5,5,Não,,armazenamento
"8 de abr. de 2025, 11:41",5,,,,,,,,usinas
"8 de abr. de 2025, 11:41",5,,,,,,,,usinas
"8 de abr. de 2025, 09:52",5,5,5,5,5,5,Não,,fundamentos
"7 de abr. de 2025, 17:04",4,5,4,5,5,5,Não,,armazenamento
"7 de abr. de 2025, 14:23",4,4,4,5,4,4,Não,,lei14300
"7 de abr. de 2025, 11:20",4,5,5,4,5,5,Não,,comercialevendas
"7 de abr. de 2025, 10:42",5,5,5,5,,,,,armazenamento
"6 de abr. de 2025, 21:36",5,5,5,4,5,5,Não,,usinas
"5 de abr. de 2025, 12:31",4,5,5,5,5,5,Não,,armazenamento
"5 de abr. de 2025, 12:25",5,5,5,5,5,5,Não,,armazenamento
"4 de abr. de 2025, 20:09",5,5,3,5,5,5,Não,,armazenamento
"4 de abr. de 2025, 20:08",5,5,4,5,,,,,armazenamento
"4 de abr. de 2025, 16:28",5,5,5,5,5,5,Não,,tributos
"3 de abr. de 2025, 08:09",4,4,4,4,4,4,Não,,fundamentos
"3 de abr. de 2025, 07:44",4,5,4,4,4,5,Não,,lei14300
"2 de abr. de 2025, 17:19",5,5,4,4,5,5,Não,,aterramento
"2 de abr. de 2025, 14:30",5,5,5,4,5,5,Não,,comercialevendas
"2 de abr. de 2025, 10:12",4,4,4,4,5,4,Não,,comercialevendas
"2 de abr. de 2025, 09:59",4,5,4,4,4,4,Não,,comercialevendas
"1 de abr. de 2025, 20:26",5,,,,,,,,tributos
"31 de mar. de 2025, 11:31",5,5,5,5,5,5,Não,,microgeracao
"31 de mar. de 2025, 10:44",4,5,5,,,,,,armazenamento
"31 de mar. de 2025, 08:23",5,5,4,4,5,4,,,aterramento
"28 de mar. de 2025, 23:04",4,5,4,5,5,5,Não,,visitaguiada
"28 de mar. de 2025, 09:14",5,5,5,5,5,5,Não,,fundamentos
"27 de mar. de 2025, 17:17",3,4,5,3,4,4,Não,,usinas
"26 de mar. de 2025, 23:53",4,5,5,4,5,4,Não,,hidrogenio
"26 de mar. de 2025, 23:48",4,5,5,4,4,5,Não,,hidrogenio
"25 de mar. de 2025, 17:30",5,,,,,,,,armazenamento
"24 de mar. de 2025, 22:25",5,5,5,5,5,5,Não,,fundamentos
"24 de mar. de 2025, 16:47",5,5,5,5,5,5,Não,,fundamentos
"24 de mar. de 2025, 12:43",5,5,5,5,4,4,Não,,usinas
"24 de mar. de 2025, 11:04",4,5,4,4,5,4,Não,,armazenamento
"21 de mar. de 2025, 15:56",5,5,5,4,5,5,Não,,comercialevendas
"20 de mar. de 2025, 11:15",5,5,5,5,5,5,Não,,armazenamento
"19 de mar. de 2025, 22:04",5,5,5,4,5,5,Não,,fundamentos
"19 de mar. de 2025, 01:15",5,5,5,,,,,,usinas
"18 de mar. de 2025, 16:52",5,5,5,5,5,5,Não,,pvsyst
"18 de mar. de 2025, 16:46",5,5,5,5,5,5,Não,,pvsyst
"18 de mar. de 2025, 16:45",5,5,5,5,5,5,Sim,,pvsyst
"18 de mar. de 2025, 16:44",5,5,5,5,5,5,Sim,,pvsyst
"17 de mar. de 2025, 11:27",1,,,,,,,,usinas
"17 de mar. de 2025, 08:56",5,5,5,5,5,5,Não,,comercialevendas
"16 de mar. de 2025, 21:49",1,1,1,1,1,1,Sim,"Eu não entendi nada. Vocês me venderam curti para ensinar projeto com baterias. E não falaram nada sobre isso. E o módulo de aulas on LINE não tem nenhuma aula nele. 
Vocês ainda vão entregar mais algum conteúdo? Ou é só isso mesmo? 
Porque desta maneira não está entregando o produto que vc me vendeu. 
Aguardo um retorno urgente da parte de vocês. 
Marcelo 
31987979095 ",armazenamento
"16 de mar. de 2025, 21:30",3,4,1,3,3,3,Não,,armazenamento
"16 de mar. de 2025, 16:33",5,5,5,5,5,5,Não,,fundamentos
"16 de mar. de 2025, 16:23",5,5,5,5,5,5,Não,,fundamentos
"16 de mar. de 2025, 16:20",5,5,5,5,5,5,Não,,fundamentos
"14 de mar. de 2025, 12:16",4,5,5,4,5,5,Sim,"Quero agradecer a toda equipe envolvida neste curso, ao orientador Denilson Lima por compartilhar seu conhecimento. 
Gratidão.

Fábio Mattos",cabine
"14 de mar. de 2025, 11:02",5,5,4,4,5,5,Não,,usinas
"13 de mar. de 2025, 11:15",5,5,5,5,5,5,Não,,mercadolivre
"13 de mar. de 2025, 08:57",5,5,5,5,5,5,Não,,fundamentos
"13 de mar. de 2025, 08:57",5,5,5,5,5,5,Não,,fundamentos
"13 de mar. de 2025, 08:48",5,5,5,5,5,5,Não,,fundamentos
"12 de mar. de 2025, 20:25",5,5,5,5,4,5,Não,,aterramento
"10 de mar. de 2025, 10:26",5,5,5,5,5,5,Não,,fundamentos
"8 de mar. de 2025, 15:18",3,4,3,4,3,3,Não,,armazenamento
"6 de mar. de 2025, 16:15",5,5,5,5,5,5,Não,,fundamentos
"6 de mar. de 2025, 15:44",3,3,3,3,3,3,Sim,"Acho que as explicações poderiam ser mais detalhadas, pois nem sempre todos conseguem entender, resultando na busca por recursos como o IA e o Google!
Quando não se tem um material didático em mãos, como apostila escrita para acompanhamento das aulas, fica tudo mais complicado e difícil de se entender, pois nem sempre todos conseguem acompanhar o raciocínio!
Mesmo voltando o vídeo varias vezes, muitos assuntos passam batido!",mercadolivre
"6 de mar. de 2025, 15:43",4,4,4,,,,,,mercadolivre
"6 de mar. de 2025, 15:31",4,4,3,3,3,3,Sim,"Acho que as explicaçoes poderiam ser mais detalhadas, pois nem sempre todos conseguem entender, resultando na busca por recusos como o IA e o Google!
Quando não se tem um material didático em mãos, como apostila escrita para acompanhamento das aulas, fica tudo mais complicado e difícil de se entender, pois nem sempre todos conseguem acompanhar o raciocínio!",mercadolivre
"6 de mar. de 2025, 15:29",3,3,,,,,,,mercadolivre
"5 de mar. de 2025, 23:16",4,5,4,5,5,5,Não,,microgeracao
"4 de mar. de 2025, 21:53",5,5,5,5,5,5,Não,,fundamentos
"4 de mar. de 2025, 15:33",5,5,5,5,5,5,Não,,armazenamento
"4 de mar. de 2025, 10:48",5,5,5,5,5,5,Não,,fundamentos
"3 de mar. de 2025, 10:15",5,5,5,5,5,5,Não,,lei14300
"3 de mar. de 2025, 10:11",5,5,4,5,5,5,Sim,Ótimo curso,lei14300
"3 de mar. de 2025, 10:10",5,5,5,5,5,5,Não,,lei14300
"28 de fev. de 2025, 08:46",5,5,4,4,5,5,Sim,"Os videos que ficam gravados poderiam ser editados, muito ruim ficar vendo pessoas sem nenhuma interação, tendo que avançar advinhando",usinas
"28 de fev. de 2025, 08:22",5,5,5,5,5,5,Não,,usinas
"27 de fev. de 2025, 19:02",5,5,5,5,5,5,Não,,usinas
"27 de fev. de 2025, 09:22",4,5,4,4,4,4,Não,,usinas
"26 de fev. de 2025, 15:09",5,5,5,5,5,5,Não,,armazenamento
"26 de fev. de 2025, 14:57",5,4,4,5,5,5,Não,,armazenamento
"26 de fev. de 2025, 14:52",5,5,4,5,5,5,Não,,armazenamento
"26 de fev. de 2025, 10:23",5,5,4,5,5,5,Não,,fundamentos
"25 de fev. de 2025, 17:24",5,5,5,5,5,5,Não,,fundamentos
"25 de fev. de 2025, 16:30",5,5,5,5,5,5,Não,,zerogrid
"25 de fev. de 2025, 15:49",4,5,3,4,4,4,Não,,aterramento
"25 de fev. de 2025, 08:08",5,5,4,5,5,5,Não,,microgeracao
"23 de fev. de 2025, 17:03",5,5,5,5,5,5,Sim,"Gostaria de ver cases de sucesso, mostrando na pratica passo a passo de como conduzir uma venda dessas! Talvez existe dificuldade pelo próprio sigilo, mas enxergar isso na prática seria ótimo! Mas, parabéns, o curso é maravilhoso.",vendasavancadas
"23 de fev. de 2025, 16:55",5,5,4,5,,,,,pvsyst
"23 de fev. de 2025, 14:45",5,5,4,5,,,,,pvsyst
"21 de fev. de 2025, 10:11",5,5,5,5,5,5,Não,,usinas
"19 de fev. de 2025, 16:57",3,4,3,3,,,,,comercialevendas
"18 de fev. de 2025, 15:39",5,5,5,5,5,5,Não,,comercialevendas
"18 de fev. de 2025, 15:09",5,,,,,,,,comercialevendas
"17 de fev. de 2025, 18:35",5,5,5,5,5,5,Não,,armazenamento
"17 de fev. de 2025, 15:48",5,5,5,5,5,5,Não,,comercialevendas
"17 de fev. de 2025, 15:38",5,5,5,5,5,5,Não,,comercialevendas
"17 de fev. de 2025, 15:34",5,5,5,5,5,5,Não,,comercialevendas
"17 de fev. de 2025, 11:51",5,5,5,5,5,5,Não,,comercialevendas
"13 de fev. de 2025, 16:13",3,4,,,,,,,fundamentos
"13 de fev. de 2025, 10:11",5,5,5,5,5,5,Não,,armazenamento
"13 de fev. de 2025, 08:21",4,5,5,5,5,5,Não,,armazenamento
"19 de dez. de 2024, 14:51",1,2,2,5,5,4,Sim,hhhhhh,
"19 de dez. de 2024, 13:26",2,,,,,,,,
"19 de dez. de 2024, 13:20",5,,,,,,,,
"19 de dez. de 2024, 12:59",4,,,,,,,,
"19 de dez. de 2024, 12:53",2,2,4,,,,,,
"19 de dez. de 2024, 12:47",1,1,1,1,,,,,
"19 de dez. de 2024, 12:36",4,,,,,,,,
"19 de dez. de 2024, 12:36",4,,,,,,,,
"19 de dez. de 2024, 12:18",2,,,,,,,,
"19 de dez. de 2024, 12:18",4,2,,,,,,,
"19 de dez. de 2024, 12:05",2,4,5,1,3,2,Sim,gg,
"19 de dez. de 2024, 11:50",4,2,1,1,2,1,Click to edit,,
"19 de dez. de 2024, 11:46",4,5,5,5,4,4,,,
"19 de dez. de 2024, 11:44",2,,,,,,,,
"19 de dez. de 2024, 11:38",3,,,,,,,,
"19 de dez. de 2024, 11:08",1,,,,,,,,
"19 de dez. de 2024, 11:06",4,,,,,,,,
"19 de dez. de 2024, 10:32",4,,,,,,,,
"19 de dez. de 2024, 10:03",3,,,,,,,,
"19 de dez. de 2024, 10:02",5,,,,,,,,